jd_no,job_description_text,jd_overview,jd_responsibilities,jd_requirements,jd_preferred
71461,"NATIONAL HOT ROD ASSOCIATION
Senior Staff Accountant
Who we are:At the National Hot Rod Association, we crave speed. We race the fastest vehicles in motorsports at speeds of more than 300 mph, with power exceeding 11,000 hpNHRA is the most extreme sport on the planet! At NHRA, we believe in Speed for All, which provides competition opportunities for all drivers, from street-car owners to professional racers. NHRA also offers career-driven opportunities off-track and behind the scenes. We serve content to our highly engaged audiences on-site at events, on the Fox broadcast and Fox Sports networks, at NHRA.com, through our live streaming service NHRA.TV, and within the pages of our publication, National DRAGSTER. Our team supports the infrastructure of local grassroots-level racing all the way up to the professional touring series all across the country, as well as our corporate offices and remote functions.
If you are looking to join a dynamic and high-speed organization in the sports and entertainment space, have the drive to innovate and the satisfaction of seeing your work in action, read on
The Job: The Senior Staff Accountant responsibilities include, but are not limited to, general ledger accountability, financial reporting, as well as financial profitability analysis and other special projects as assigned.
Primary Responsibilities:Prepares asset, liability, and capital account entries by compiling and analyzing account information.Summarizes current financial status by collecting information, preparing balance sheet, profit and loss statement, and other reports.Reviews and reconciles breakdown of expenditures.File state sales and use tax across multiple jurisdictions, also including property taxes.Assist with annual external audit by preparing assigned schedules for the annual and interim audit.Regularly maintain detailed reconciliations of all balance sheet accountsAssist with special projects assigned by management.May direct other clerical accounting employees in the support functions of finance and accounting.Performs similar job-related duties as assigned.
Minimum SkillsExperienceEducation Requirements:Bachelors degree in business administration or accounting required.Must have a minimum of 3 years of staff accountant experience.CPA preferred.Must have strong analytical skills coupled with excellent knowledge of basic accounting principles.Must be able to communicate effectively in writing and verbally to all levels of management.Must be able to effectively handle multiple projects simultaneously in a deadline driven environment.Must be comfortable working independently and reporting to all functional leaders of the Company.
Physical Requirements:Able to work at a computer all day.Ability to talk on the phone as needed.No heavy lifting required.","The National Hot Rod Association (NHRA) is the premier motorsports organization, delivering high‑speed competition and content across live events, broadcast, streaming, and publications. NHRA supports grassroots to professional racing and offers career opportunities behind the scenes. The Senior Staff Accountant role involves general ledger accountability, financial reporting, profitability analysis, and special projects within this fast‑paced sports and entertainment environment.","Prepares asset, liability, and capital account entries by compiling and analyzing account information. Summarizes current financial status by preparing balance sheets, profit and loss statements, and other reports. Reviews and reconciles breakdown of expenditures. Files state sales and use tax, as well as property taxes, across multiple jurisdictions. Assists with annual external audit by preparing assigned schedules for annual and interim audits. Regularly maintains detailed reconciliations of all balance‑sheet accounts. Assists with special projects assigned by management. May direct other clerical accounting employees in finance and accounting support functions. Performs similar job‑related duties as assigned.","Bachelor's degree in business administration or accounting required. Minimum of 3 years staff accountant experience. Strong analytical skills with solid knowledge of basic accounting principles. Ability to communicate effectively in writing and verbally to all levels of management. Capable of handling multiple projects simultaneously in a deadline‑driven environment. Comfortable working independently and reporting to functional leaders. Physical requirements: able to work at a computer all day, ability to talk on the phone as needed, no heavy lifting required.","CPA certification preferred. Experience directing clerical accounting staff. Familiarity with multi‑jurisdictional sales, use, and property tax filings."
55691,"Direct Supply, Inc. is seeking a qualified candidate to serve as a Staff Data Engineer to work with a team of engineers and architects to design data driven solutions, and establish robust data pipelines and services in Milwaukee, WI.

Duties Include: Provide technical direction and mentoring of a small data engineering project team, to design solutions ensuring industry best SDLC practices; Identify new development processes that improve the predictability and quality of projects; Create, build and deploy robust data structures and pipelines to support analysis and decision making; Provide high-level technical analysis and design as new projects go through the ideation phase; Collaborate with end users and peers to understand requirements, formulate use cases, and translate into an effective technical solution; Ownership of the design and delivery of key components of a large-scale data platform; Build and deploy data warehouses and ETL and ELT applications; Participate in global data strategy; Design data integration pipeline architecture and infrastructure required for reporting and data analysis; Use the Scrum development process to deliver software solutions; Coordinate integration testing and debugging of software components; Understand system architecture and integration of new functionality.

Minimum Qualifications: The minimum entry requirements for the Staff Data Engineer position is a Bachelors degree (or U.S. equivalent) in Computer Science, Engineering, Mathematics or a related field plus 5 years data engineering or business intelligence experience which must include 5 years of each of the following (and can be gained concurrently): Working with enterprise data management technologies such as database and ETL technologies; Writing complex queries across large data sets; Configuring, managing, and monitoring cloud data solutionsapplications; Using Python and a module for structured data processing such as Spark SQL.

Pre-employment drug test required. Candidate must have references for work experience that confirm experience. Candidates will also be subject to a criminal background check, and may be rejected if criminal convictions are substantially related to the position applied for, in accordance with applicable law.

For more information, contact or reply by rsum to Megan Thull, Senior HR Generalist, Direct Supply, Inc., 7301 W. Champions Way, Milwaukee, WI 53223 (Phone) 414-760-5682 (E-mail) Megan.Thull@directsupply.com

Job to be performed in the location listed. Generous benefit package available. Click here to learn more.

Direct Supply, Inc. and its U.S. subsidiaries are equal opportunity and affirmative action employers committed to diverse workforces.

 2013 to 2023 Direct Supply, Inc. All rights reserved.","Direct Supply, Inc. is seeking a qualified candidate to serve as a Staff Data Engineer, working with a team of engineers and architects to design data‑driven solutions and establish robust data pipelines and services in Milwaukee, WI.","Provide technical direction and mentoring to a small data‑engineering project team and design solutions following best SDLC practices; Identify new development processes to improve project predictability and quality; Create, build, and deploy robust data structures and pipelines to support analysis and decision‑making; Perform high‑level technical analysis and design during the ideation phase of new projects; Collaborate with end users and peers to gather requirements, formulate use cases, and translate them into technical solutions; Own design and delivery of key components of a large‑scale data platform; Build and deploy data warehouses and ETL/ELT applications; Participate in global data strategy; Design data‑integration pipeline architecture and infrastructure for reporting and analysis; Use Scrum development process to deliver software solutions; Coordinate integration testing and debugging of software components; Understand system architecture and integrate new functionality.","Minimum qualifications: Bachelor’s degree (or U.S. equivalent) in Computer Science, Engineering, Mathematics, or related field; at least 5 years of data engineering or business intelligence experience, including 5 years (can be concurrent) with enterprise data‑management technologies such as databases and ETL tools, writing complex queries on large data sets, configuring/managing/monitoring cloud data solutions, and using Python with a structured data processing module such as Spark SQL. Pre‑employment drug test required; references confirming work experience; criminal background check may be conducted and could result in disqualification if convictions relate to the position.",
69821,"RECM Senior Property AccountantThe Position: The Accountant supports our Property Management Accounting team. Responsibilities: Ensures the integrity of accounting information by recording, verifying, consolidating, and entering transactions. Prepares and records asset, liability, revenue, and expenses entries by compiling and analyzing account information. Maintains and balances subsidiary accounts by verifying, allocating, posting, and reconciling transactions and resolving discrepancies. Maintains general ledger by transferring subsidiary accounts, preparing a trial balance, and reconciling entries. Summarizes financial status by collecting information and preparing balance sheet, profit and loss, and other statements. Assist in the design and preparation of budgets for review by management. Special projects as assigned.  Essential Skills: Highly detail-oriented and organized. Ability to meet a constant stream of deadlines. Proven ability to work both independently and collaboratively in a team environment. Superior analytical and problem-solving skills.  Qualifications: Bachelors Degree in Accounting from a regionally accredited university Preferred. 3-7 years previous accounting experience required. Intermediate to advanced skills in MS Excel and related accounting business systems. Experience with Real Page a plus.","RECM Senior Property Accountant. The Accountant supports our Property Management Accounting team, providing accounting support for property management operations.","Ensures the integrity of accounting information by recording, verifying, consolidating, and entering transactions. Prepares and records asset, liability, revenue, and expense entries by compiling and analyzing account information. Maintains and balances subsidiary accounts by verifying, allocating, posting, and reconciling transactions and resolving discrepancies. Maintains the general ledger by transferring subsidiary accounts, preparing a trial balance, and reconciling entries. Summarizes financial status by collecting information and preparing balance sheet, profit and loss, and other statements. Assists in the design and preparation of budgets for management review. Completes special projects as assigned.",Bachelors Degree in Accounting from a regionally accredited university (preferred). 3-7 years of prior accounting experience required. Intermediate to advanced skills in Microsoft Excel and related accounting business systems. Highly detail‑oriented and organized. Ability to meet a constant stream of deadlines. Proven ability to work both independently and collaboratively in a team environment. Superior analytical and problem‑solving skills.,Experience with RealPage (or similar property management accounting software) is a plus.
49812,"Senior Tax Accountant: CPA preferred with minimum 3 years Tax Experience. Preparation of Individual, Partnership, Corporations Trusts Tax Returns, Tax Research, Employee Retention Credits. Boutique Firm in downtown Princeton, NJ. Fast growing, great opportunity for hardworking, hands on professional. Great work environment, benefits, bonuses, parking and possible hybrid work. If youre up for a new challenge, team player, enjoy long term relationship building please apply!","Senior Tax Accountant position at a boutique firm located in downtown Princeton, NJ. The firm is fast‑growing and offers a great work environment with benefits, bonuses, parking and possible hybrid work.","Prepare Individual, Partnership, Corporation and Trust tax returns; conduct tax research; handle Employee Retention Credit calculations.",CPA preferred; minimum of 3 years of tax experience.,"Hardworking, hands‑on professional; team player who enjoys long‑term relationship building; motivated to take on new challenges."
30202,"Purpose StatementThe Software Engineering Manager will be responsible for hiring and leading technical teams within our digital & IT department. This leader should have a vision and technical understanding for modernizing internal software infrastructure and coordinating with and insourcing from external vendors. The position will oversee a staff of internal and consultant developers and will be responsible for architecting and delivering prioritized cross-functional software development needs across websites, portals, CRMs, and ERP platforms. This person should be experienced at developing and following best practices in agile methodologies, building secure applications according to modern best practices. An analytical mindset and ability to resource effectively will be essential for this role. Essential Functions To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, andor ability required.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions:Responsibility to analyze, architect, design, develop and support all software application systems.Lead software development team to develop, document and maintain modern web-based applications. Develop and manage software engineering applications utilizing standard development tools.Develop and implement software engineering plans appropriately.Manage all software engineering schedules, budget, and resource allocation.Manage joint development with 3rd party vendors as well as outsourced development.Assist software development team to attain optimal team performance through removing technical obstacles.Help improve team processes and handle resource conflicts when they arise.Provide leadership, development, and technical vision to the engineering team and consultantscontractors across different geographic locations.Collaborate with product teams on priorities, along with infrastructure and security teams for best practices. Skills and Abilities.Strong leadership, communication, organization, and problem-solving skills.Must be highly organized with the ability to effectively prioritize work.Expertise in web-based 3-tier application and security architecture.Experience building consumer-facing web and mobile software solutions at scale, within the agile framework.Ability to influence and adapt to continuous improvement driven change. Qualifications  Education & Experience.A BSMS degree in Computer Science, Software Engineering, or related field.5+ years of technical resource supervision or management experience.10+ years of hands-on professional coding experience.Experience with change management and agile methodologies. Experience with waterfall methodologies would be helpful.Knowledge of common security vulnerabilities and how to mitigate them.Experience with techniques such as input validation, encryption, and secure authentication.Experience with security and compliance. Understanding of data privacy regulations such as GDPR and experience in ensuring applications comply with accessibility and security standards.Strong knowledge of PHP. Experience with CMS systems such as WordPress, Drupal, Shopify, Squarespace, and Joomla.Deep understanding of PHP frameworks such as Slim, Laravel, and Symfony.Good understanding of JavaScriptNode and JavaScript frameworks, such as ReactReact Native, Sencha, Vue.js, etc.Experience with relational, NoSQL, and key-value databases such as MySQL, MongoDB, and Redis.Excellent knowledge of API development. Experience with RESTful APIs using OAuth2JWT tokens and an understanding of the efficient delivery of payloads for mobile devices.Modern understanding of web markup, using HTML5, CSS3, and other related technologies such as Babel, Webpack, TypeScript, LESSSASS, etc.Proficient with GitMercurialSVN.Experience with Docker for containerization for orchestration.Proficiency in writing unit tests, integration tests and end-to-end tests. Familiar with testing frameworks such as PHPUnit, Jest, or Mocha.Experience with Atlassian suite of tools (Jira, Confluence, Bitbucket).","The Software Engineering Manager will hire and lead technical teams within the digital & IT department, modernize internal software infrastructure, and coordinate with external vendors. The role oversees internal and consultant developers, architecting and delivering prioritized cross‑functional software solutions across websites, portals, CRMs, and ERP platforms, while driving agile best practices, secure application development, analytical decision‑making, and effective resource management.","Analyze, architect, design, develop, and support all software application systems. Lead software development teams to create, document, and maintain modern web‑based applications. Manage software engineering schedules, budgets, and resource allocation. Oversee joint development with third‑party vendors and outsourced partners. Remove technical obstacles to maximize team performance, improve processes, and resolve resource conflicts. Provide leadership, development, and technical vision to engineering teams and contractors across geographic locations. Collaborate with product, infrastructure, and security teams on priorities and best practices.","BS/MS in Computer Science, Software Engineering, or related field. 5+ years of technical resource supervision or management experience. 10+ years of hands‑on professional coding experience. Experience with change management and agile methodologies (waterfall helpful). Knowledge of security vulnerabilities and mitigation techniques (input validation, encryption, secure authentication). Understanding of GDPR, accessibility, and security compliance. Strong PHP expertise; experience with CMS platforms (WordPress, Drupal, Shopify, Squarespace, Joomla) and PHP frameworks (Slim, Laravel, Symfony). Proficiency in JavaScript and frameworks (React, React Native, Sencha, Vue.js). Experience with relational, NoSQL, and key‑value databases (MySQL, MongoDB, Redis). Excellent API development skills (RESTful APIs, OAuth2, JWT). Modern web markup knowledge (HTML5, CSS3, Babel, Webpack, TypeScript, LESS/SASS). Proficient with version control (Git, Mercurial, SVN), Docker containerization, and testing (unit, integration, end‑to‑end) using frameworks such as PHPUnit, Jest, or Mocha. Familiarity with Atlassian suite (Jira, Confluence, Bitbucket).",Experience with waterfall methodologies. Additional experience with Atlassian suite of tools. Familiarity with advanced testing frameworks and container orchestration tools. Prior work ensuring applications meet accessibility and broader security standards.
32541,"Job Purpose: Perform designated tasks in the area of technical sub-ledger accounting related to all lines of business. Perform and review tasks related to period end financial closing.
Key Responsibilities:Investigate and resolve discrepancies by actively collaborating and communicating across departments. Create policies and procedures for developing areas such as the Surety accounting.Review accounting entries posted to the general ledger to ensure proper accounting treatment.Work closely with other teams to ensure proper premium accounting and make manual corrections as needed.Prepare complex monthly bank reconciliations. Responsible for reconciling intercompany AP, AR, and P&L for all other BUs.Perform complex manual processes necessary to maintain proper accounting records and develop ways to automate them.Present to management premium results monthly including thorough explanations on insurance revenues, service revenues, and bad debt. Able to speak to analytical results.Perform regular analytics prior to, during, and post monthly close.Investigate and resolve discrepancies and fluctuations resulting from analytics performed by collaborating with other teams to determine accurate results.Responsible for preparing documentation and providing explanations as requested by internal and external auditors and regulators. 
Key Experience:7+ years accounting experience4+ years as a seasoned senior accountantPublic accounting a plusKnowledge of insurance accounting a plus
Key Requirements:Bachelors Degree in Accounting  Finance Accounting and technical know-how, basis for understanding of accounting, and advanced technical systems. Good knowledge of MS Office suiteWillingness to work overtime as needed to meet monthly deadlinesStrong analytical, critical thinking & problem solving skillsStrong aptitude for accuracy and attention to detailExcellent written and verbal communication skills.Strong organizational skills and ability to manage deadlines. Ability to collaborate and influence internal partners to set up corrective action plansHigh level of initiative & ability to be autonomousAble to multi task",Job Purpose: Perform designated tasks in the area of technical sub-ledger accounting related to all lines of business. Perform and review tasks related to period‑end financial closing.,"Key Responsibilities: Investigate and resolve discrepancies by actively collaborating and communicating across departments. Create policies and procedures for developing areas such as Surety accounting. Review accounting entries posted to the general ledger to ensure proper accounting treatment. Work closely with other teams to ensure proper premium accounting and make manual corrections as needed. Prepare complex monthly bank reconciliations. Reconcile intercompany AP, AR, and P&L for all other business units. Perform complex manual processes to maintain proper accounting records and develop automation opportunities. Present premium results to management monthly with thorough explanations of insurance revenues, service revenues, and bad debt, and discuss analytical results. Conduct regular analytics before, during, and after monthly close and investigate any discrepancies or fluctuations, collaborating with other teams to determine accurate results. Prepare documentation and provide explanations as requested by internal and external auditors and regulators.","Key Experience: 7+ years accounting experience, including 4+ years as a senior accountant; public accounting experience a plus; knowledge of insurance accounting a plus. Key Requirements: Bachelor’s degree in Accounting or Finance; strong technical accounting knowledge and advanced systems proficiency; good knowledge of MS Office suite; willingness to work overtime to meet monthly deadlines; strong analytical, critical‑thinking, and problem‑solving skills; high accuracy and attention to detail; excellent written and verbal communication; strong organizational skills with ability to manage deadlines; ability to collaborate and influence internal partners to establish corrective action plans; high initiative and ability to work autonomously; ability to multitask.",
60475,"*** THESE POSITIONS REQUIRE A DEPARTMENT OF DEFENSE SECRET SECURITY CLEARANCE. PREFERABLY TS ANDOR TSSCI ***
ITS, LLC is looking for 3 Software Engineers to serve on the Army RETS contract in Huntsville, AL.
Essential FunctionsLead software engineering efforts to open, investigate, design, implement, and test software engineering solutions on existing RTS software products. Coordinate with Software Engineers, Systems Engineers, Configuration Management, and Test Operations to ensure successful integration, verification, and validation of new software releases.Support all RTS software products to include Optics, Radar, and Telemetry sensors, and Space Surveillance Software in support of the Department of Defense. Maintain existing software projects by preventing code rot, upgrading systems, and resolving critical software bugs. Produce Static Code Analysis reports; Remediate critical cyber vulnerabilities as needed. Support Reagan Test Site missions as well as RTS technical projects involving software and other technical support.  Guide internal software Issue Review Boards (IRBs) to triage all new problem reports and feature requests.
Required:
Understanding and proficiency using the Object Oriented Programming (OOP) concepts (Preferably C++ or Java)Strong knowledge of the Red Hat Linux  Unix Operating System.Proficiency with Version Control software using SVN or GIT based products. Excellent written and verbal communication skills.Ability to work independently on assigned tasks; self-starter.Strong analytical, troubleshooting and problem solving skills.Strong organizational and time management skills to balance, plan, prioritize, and execute projects.Ability to work within a dynamic, fast paced environment with time constraints.Demonstrated ability to effectively perform the following preferred: Implementing or upgrading C++ Boost libraries.Basic System Administration Use of Static Code Analyzing products such as FortifyBasic relational database queries 
Desired:
The flexibility to work occasional non-duty hours or on weekends to support specific project or mission requirements.Must be able to obtain and maintain a DoD Secret Security Clearance, which includes U.S. citizenship or U.S. naturalization.Valid U.S. Drivers License required.
Experience Level:Bachelors degree in a related Engineering or STEM discipline.Bachelors degree in Computer Science, Computer Engineering, or Software Engineering preferred. Two (2) or more years of experience as a Software Engineer in a software development environment.Two (2) or more years of experience with OOP software development (Preferably C++ or Java). Experience applying object-oriented programming knowledge to complex software architectures on the Linux platform.Experience providing inputs to complex project proposals within defined time constraints involving multi-discipline teams.Obtain a Security+, CySA+, GICSP, or similar certification meeting DoD 8140.01  DoD 8570.01 baseline certification for IAT Level II prior to employment start date and maintain certification thereafter.Obtain a CE (Computer Environment) Linux+, Server+ or similar certification meeting DoD 8140.01 DoD 8570.01 baseline certification for IAT Level II within 3 months after employment start date and maintain certification thereafter.
","ITS, LLC seeks three Software Engineers for the Army RETS contract in Huntsville, AL. The positions support Department of Defense missions, including optics, radar, telemetry, and space surveillance software. Candidates must obtain a DoD Secret security clearance (preferably TS and/or TS‑SCI).","Lead software engineering efforts to design, implement, test, and integrate software solutions for existing RTS products. Coordinate with software, systems, configuration management, and test teams to ensure successful verification and validation of new releases. Maintain and upgrade existing codebases, prevent code rot, and resolve critical bugs. Generate static code analysis reports and remediate cyber vulnerabilities. Support Reagan Test Site missions and related technical projects. Guide internal Software Issue Review Boards to triage problem reports and feature requests.","Proficiency in object‑oriented programming (C++ or Java) and Red Hat Linux/Unix. Experience with version control (SVN or Git). Strong written and verbal communication, independent work ethic, analytical and troubleshooting skills, and effective time management. Must obtain and maintain a DoD Secret security clearance (U.S. citizenship or naturalization required). Bachelor’s degree in Computer Science, Computer Engineering, Software Engineering, or related STEM field. Minimum two years of software engineering experience, including OOP development on Linux. Required certifications: Security+, CySA+, GICSP, and a DoD 8140/8570 baseline certification (IAT Level II) prior to start, with CE (Linux+), Server+ or equivalent within three months of employment.","Flexibility to work occasional non‑duty hours or weekends for mission support. Valid U.S. driver’s license. Preferred experience with C++ Boost libraries, basic system administration, static code analysis tools (e.g., Fortify), and basic relational database queries. Preference for candidates holding a bachelor’s degree in Computer Science, Computer Engineering, or Software Engineering."
45471,"Driven, empowering, transformative. Academic Partnerships creates collaborative, student centered partnerships with the universities we serve. At AP, we drive change through innovation in online education using the strengths, experience, and culture of our people. As a leader in online program management, we are focused on supporting scalable online program success for our university partners and the students they serve, their local communities, school systems, business, and the local labor market. Our OneAP, culture is built on the foundation of our mission - to increase access to high-quality, affordable, and workforce-relevant education.
We're seeking a driven, highly motivated Sr. Marketing Analyst to join our Business Transformation and Operations team (Btop). As Sr. Marketing Analyst, you will gain exposure to all aspects of marketing, both strategic and tactical, across all marketing channels. Through mentorship from senior members of the leadership team, you will help conduct analysis to shape APs key strategic initiatives. Working on a cross-functional project basis, you will be responsible for helping to structure problems, develop hypotheses, and deliver value-add strategic recommendations to drive overall business growth
Responsibilities Include
Assist in the development and execution of marketing strategies and campaignsAnalyze the performance of marketing campaigns to improve targeting and ROIDevelop reports highlighting opportunities for marketing campaignsPartner with external vendors (Google, Facebook, etc.) to implement marketing best practicesWork closely with cross-functional teams to gather and analyze data, identify key performance indicators (KPIs), and provide insights on performance trends, risks, and opportunitiesUtilize data-driven insights, ranging from customer performance to internal operations, to identify areas of improvement and develop actionable recommendationsForm a deep understanding of APs processes, systemstools, personnel, strategic direction, and broader market ecosystem (university partners, marketing channels, contact center operational dynamics)Work closely with Directors on the Business Transformation & Operations team (Transformation Strategy & Ops, Partner Strategy & Analytics, Revenue Strategy & Analytics, Operations & Analytics) in shaping the future of the organization through data-driven insights and strategic decision-makingHigh intensity, high impact projects with rewarding career development and growthA dynamic and fast-paced work environment that requires agility and adaptability to meet evolving business needsCollaboration with cross-functional teams and exposure to various stakeholders, including executive leadership
Requirements Include
Bachelor's degree requiredAt least 5 years of experience in analytics areaProficient in SQL.Fluent in MS ExcelPython R preferredPrior experience in marketing analytics preferredDemonstrated knowledge of Web Analytics tools (Google Analytics, Adobe Analytics, etc.)Demonstrated knowledge of StatisticsAB Testing experienceGood communication and presentation skillsStrong analytical and problem-solving skillsCollaborative problem-solving mindset and the ability to work effectively in cross-functional teams, driving change through influenceDemonstrated ability to work through complex business problems and partner with internal clients using consultative approach
Academic Partnerships Offers The Following Comprehensive Benefits
PTO  accumulated from day one11 designated holidaysMedical  four options (including PPO and HDP)DentalVisionLife & Disability (company paid)Flexible Spending Account & Health Savings Account (company contribution to HSA)Retirement plan with company matchMaternity  Paternity  Parental Leave (company paid)Volunteer Time Off
Supplemental Benefits
Wellness programAlternative medicine optionsPet discountsAccident, Critical Illness and Hospital Indemnity
Personal And Professional Development
Continuous Professional and Leadership Development ProgramsTuition Reimbursement for employees and their dependents
Academic Partnerships is an equal opportunity employer and supports a diverse and inclusive workforce.
","Academic Partnerships (AP) creates collaborative, student‑centered partnerships with universities, driving change through innovation in online education. As a leader in online program management, AP supports scalable online program success for university partners, students, communities, and the local labor market. The company’s OneAP culture is built on its mission to increase access to high‑quality, affordable, workforce‑relevant education. AP is seeking a driven, highly motivated Sr. Marketing Analyst to join the Business Transformation and Operations (Btop) team, gaining exposure to strategic and tactical marketing across all channels and providing analysis to shape AP’s key strategic initiatives.","Assist in the development and execution of marketing strategies and campaigns. Analyze the performance of marketing campaigns to improve targeting and ROI. Develop reports highlighting opportunities for marketing campaigns. Partner with external vendors (Google, Facebook, etc.) to implement marketing best practices. Work closely with cross‑functional teams to gather and analyze data, identify KPIs, and provide insights on performance trends, risks, and opportunities. Utilize data‑driven insights to identify areas of improvement and develop actionable recommendations. Form a deep understanding of AP’s processes, systems, personnel, strategic direction, and broader market ecosystem (university partners, marketing channels, contact center dynamics). Collaborate with Directors on the Business Transformation & Operations team in shaping the organization’s future through data‑driven insights and strategic decision‑making. Participate in high‑intensity, high‑impact projects with rewarding career development. Operate in a dynamic, fast‑paced environment requiring agility and adaptability. Collaborate with cross‑functional teams and interact with executive leadership.","Bachelor’s degree required. Minimum 5 years of experience in analytics. Proficient in SQL. Fluent in Microsoft Excel. Demonstrated knowledge of web analytics tools (Google Analytics, Adobe Analytics, etc.). Demonstrated knowledge of statistics and A/B testing. Strong communication and presentation skills. Strong analytical and problem‑solving abilities. Collaborative mindset with the ability to influence cross‑functional teams. Ability to work through complex business problems and partner with internal clients using a consultative approach.",Experience with Python or R (preferred). Prior experience in marketing analytics (preferred).
20432,"Job Description:
W2 positions: (Marketing)We are working with Direct clients & Vendors 
Requirements:A deep desire for a career path leading to project management.Adept at organizational change and lean processesA good understanding of project and program managementProven ability to work with various software development life cycles (SDLC) such as SAFe, Scrum and DevOpsFirm grasp of UML or other modeling techniquesAbility to assist the PMO in tracking tasks, defects, and stories.Elicit and document detailed functional and non-functional requirements, user stories, and use cases.Develop test scenarios and test scripts for projects and defect resolution.Address risks and other issues as they arise.Lead small project implementations with minimal supervision.Create and maintain systemapplication documentation.Assist with project setup and closeout.Gather requirements or user stories.A CAPM is preferred, but not required.1 Year experience with Java, Spring Boot, Angular or similar technologiesProficient in office automation tools (Outlook, Word, etc.)Excellent problem solving and analytical skills.1 year experience with Jira and ConfluenceExcellent verbal and written communication skills3 years' experience as a project coordinator or business analyst",W2 positions (Marketing). We are working with direct clients and vendors.,"Elicit and document detailed functional and non-functional requirements, user stories, and use cases. Develop test scenarios and test scripts for projects and defect resolution. Address risks and other issues as they arise. Lead small project implementations with minimal supervision. Create and maintain system/application documentation. Assist with project setup and closeout. Gather requirements or user stories. Assist the PMO in tracking tasks, defects, and stories.","A deep desire for a career path leading to project management. Adept at organizational change and lean processes. Good understanding of project and program management. Proven ability to work with various software development life cycles (SDLC) such as SAFe, Scrum, and DevOps. Firm grasp of UML or other modeling techniques. Ability to assist the PMO in tracking tasks, defects, and stories. 1+ year experience with Java, Spring Boot, Angular or similar technologies. Proficient in office automation tools (Outlook, Word, etc.). Excellent problem‑solving and analytical skills. 1 year experience with Jira and Confluence. Excellent verbal and written communication skills. 3 years' experience as a project coordinator or business analyst.",CAPM certification is preferred but not required.
36229,"ARM GROUP is looking for a Senior Electrical Engineer for our growing Client located in Annapolis, Maryland. 
The candidate will be responsible for the management of the electrical staff, quality control, project management, and review of design and construction documents. Additionally, the candidate will assist with the process and instrumentation diagrams (P&IDs), and instrumentation &amp; control implementation.
Responsibilities of this position during the design and construction phases of projects include: Power Distribution, Motor Control, PLC Control System, Control Panels, Lighting, Facility Conduit and Wiring DesignSchematic and Logic DevelopmentExtensive Knowledge and Implementation of the National Electric CodeWorking knowledge of AutoCADFacility Construction Document and Shop Drawing ReviewFacility Testing and Startup
As a successful candidate you should have:
Minimum 6 years experience in Industrial Electrical Design, preferably in water and wastewater applicationProfessional Engineer license in Maryland or ability to obtainProject Management experienceQuality focus with attention to detail
ARM Group LLC is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity, sexual orientation, national origin, genetic information, sex, age, disability, veteran status, or any other legally protected basis.
The ARM GROUP LLC welcomes and encourages applications from diverse candidates, including people with disabilities. Accommodations are available upon request for applicants taking part in all aspects of the selection process.
Applicants for this position must be legally authorized to work in the United States.","ARM GROUP seeks a Senior Electrical Engineer for a client in Annapolis, Maryland. The position entails managing the electrical staff, overseeing quality control, handling project management, reviewing design and construction documents, and supporting process and instrumentation diagrams (P&IDs) and instrumentation & control implementation.","Design and construction phase duties include: Power Distribution, Motor Control, PLC Control System, Control Panels, Lighting, Facility Conduit and Wiring Design, Schematic and Logic Development, extensive knowledge and implementation of the National Electric Code, working knowledge of AutoCAD, facility construction document and shop drawing review, and facility testing and startup.","Minimum 6 years of experience in industrial electrical design, preferably in water and wastewater applications; Professional Engineer (PE) license in Maryland or ability to obtain one; project management experience; strong quality focus with attention to detail.",
24804,"Qualifications:Accounting degreeCPA license required4+ years professional accounting experience, public accounting preferredSupervisory experienceAbility to learn on the job quickly and adapt to changesSelf-motivated, with the ability to work under limited supervisionExperience in a client-facing role leading multiple engagements
What you will do:Supervise and train 1-3 fund accountantsOnboard new clients and implement preferred system platforms and processesDirect workflow and coordination of work amongst team members to meet deadlinesCultivate strong working relationships with client contactsAsist in preparation and review of capital call, distribution, LP communications, and other client deliverablesReviewing financial statements including balance sheet, income statement, statement of changes, cash flows, schedule of investments, and footnote disclosures including financial highlightsAssist with preparing and reviewing audited financials, footnotes, and supporting schedules and liaison with auditorsCollaborate with Senior Manager to develop and implement best practices",,"Supervise and train 1-3 fund accountants; onboard new clients and implement preferred system platforms and processes; direct workflow and coordinate work among team members to meet deadlines; cultivate strong working relationships with client contacts; assist in preparation and review of capital call, distribution, LP communications, and other client deliverables; review financial statements including balance sheet, income statement, statement of changes, cash flows, schedule of investments, and footnote disclosures with financial highlights; assist with preparing and reviewing audited financials, footnotes, and supporting schedules and liaise with auditors; collaborate with Senior Manager to develop and implement best practices.",Accounting degree; CPA license required; 4+ years professional accounting experience (public accounting preferred); supervisory experience; ability to learn quickly and adapt to changes; self‑motivated with ability to work under limited supervision; experience in a client‑facing role leading multiple engagements.,
